ID,zone,ward,address,capacity,Manager,GPS,latitude,longitude
1,1,1,"Section-12, Kabarsthan, Uttara STS",950,,"23.871424189045857, 90.38000335233426",23.871424189045857,90.38000335233426
2,1,1,"sector-6, Uttara STS",800,,"23.87115464211913, 90.4009783415207",23.87115464211913,90.4009783415207
3,1,1,"Ranabhola, Section-10, Uttara STS",750,,"23.88529057351307, 90.38649071026101",23.88529057351307,90.38649071026101
4,1,17,Kuril Bishwa Road STS,900,,"23.823740750484117, 90.42144983725085",23.823740750484117,90.42144983725085
5,1,17,"Nikunja-2, West Side Road-18 STS",850,,"23.832563076554706, 90.41770677093437",23.832563076554706,90.41770677093437

